neutral,negative,positive,pos_x1,pos_y1,pos_x2,pos_y2,pos_x3,pos_y3,neg,neu,pos
An image of a stone wall made of rectangular bricks stacked in rows.,An image of a carcass of a rotting headless deer with rib exposed.,An image of a tropical beach with palm trees and lounge chairs overlooking clear turquoise water.,-0.5,0,0.5,0,0.5,0,Negative Images/Animal carcass 5.jpg,Neutral Images/Bricks 1.jpg,Positive Images/Beach 1.jpg
An image of an empty cardboard box viewed from above.,An image of a line up of dead bodies with bloody clothes.,An image of the sun setting over a rocky shoreline as warm colors reflect on the ocean.,-0.5,0,0.5,0,0.5,0,Negative Images/Dead bodies 1.jpg,Neutral Images/Cardboard 3.jpg,Positive Images/Beach 2.jpg
An image of several white cotton swabs scattered on a flat surface.,An image a young dead body laying next to another dead body in a field.,An image of two tiny kittens asleep curled together in a soft purple blanket.,0.5,0,-0.5,0,-0.5,0,Negative Images/Dead bodies 2.jpg,Neutral Images/Cotton swabs 2.jpg,Positive Images/Cat 5.jpg
"An image of a container filled with cotton swabs, some with colored stems.",An image of a dead shirtless man with an empty look laying in a dirt field.,An image of a cheerful beagle standing on a wooden surface.,0.5,0,-0.5,0,-0.5,0,Negative Images/Dead bodies 3.jpg,Neutral Images/Cotton swabs 3.jpg,Positive Images/Dog 12.jpg
"An image of a patch of brown soil with a rough, natural texture.",An image of a dry lifeless land with cracks across the surface.,An image of a small puppy sitting inside a white cup with red polka dots.,0.5,0,-0.5,0,-0.5,0,Negative Images/Dirt 1 (1).jpg,Neutral Images/Dirt 4.jpg,Positive Images/Dog 6.jpg
An image of a red fire hydrant standing on a grassy area.,An image of a malnourished stray dog with part of flesh exposed.,An image of colorful fireworks bursting over a city skyline at night.,-0.5,0,0.5,0,0.5,0,Negative Images/Dog 26.jpg,Neutral Images/Fire hydrant 2.jpg,Positive Images/Fireworks 2.jpg
An image of two people sitting on a rooftop at night overlooking a lit city skyline.,An image of bloody dummy missing its face laying lifeless.,An image of a forest opening that reveals a lake surrounded by tall trees.,-0.5,0,0.5,0,0.5,0,Negative Images/Dummy 1.jpg,Neutral Images/Nude couple 12.jpg,Positive Images/Lake 1.jpg
An image of a loose pile of tan rubber bands.,An image of a house englufed in flames.,An image of snowcapped mountains reflecting in a turquoise alpine lake.,-0.5,0,0.5,0,0.5,0,Negative Images/Fire 9.jpg,Neutral Images/Office supplies 1.jpg,Positive Images/Lake 12.jpg
A blue-and-white stapler placed on a plain background.,An image of plastic waste littered across a coast line.,An image of a golden sunset illuminating moutain peaks in a still blue lake.,-0.5,0,0.5,0,0.5,0,Negative Images/Garbage dump 2.jpg,Neutral Images/Office supplies 2.jpg,Positive Images/Lake 14.jpg
An image of a small stack of white paper sheets slightly fanned out.,An image of a shopping cart in a field surrounded by garbage.,An image of a reflective lake at sunset with dramatic clouds and warm golden light.,0.5,0,-0.5,0,-0.5,0,Negative Images/Garbage dump 4.jpg,Neutral Images/Paper 3.jpg,Positive Images/Lake 15.jpg
An image of a scattered pile of silver metal paper clips.,An image of someone with multiple lacerations on the lower body and bloody legs on an operating table.,An image of a peaceful river bordered by lush green trees under a blue sky with scattered clouds.,-0.5,0,0.5,0,0.5,0,Negative Images/Injury 4.jpg,Neutral Images/Paperclips 3.jpg,Positive Images/Lake 2.jpg
An image of a close up view of small gray gravel stones.,An image of the KKK having a meeting and giving a speech.,An image of a wooden pier stretching into a calm lake beneath a bright full moon.,0.5,0,-0.5,0,-0.5,0,Negative Images/KKK rally 1.jpg,Neutral Images/Rocks 6.jpg,Positive Images/Lake 8.jpg
An image of a surface covered in small multicolored pebbles with mostly gray and teal tones.,An image of the KKK burning a reglious symbol.,An image of a mountain lake with red canoes resting on a wooden dock.,0.5,0,-0.5,0,-0.5,0,Negative Images/KKK rally 2 (1).jpg,Neutral Images/Rocks 7.jpg,Positive Images/Lake 9.jpg
An image of beige textured surface resembling a neutral-toned wall.,An image a severe case of a young man with malnutrition on the brink of starvation.,An image of an emperor penguin sheltering its small chick on a snowy landscape.,-0.5,0,0.5,0,0.5,0,Negative Images/Miserable pose 3.jpg,Neutral Images/Wall 1.jpg,Positive Images/Penguins 2.jpg
An image of a brown textured material that looks like a wall.,An image of a man missing his left eye due to a tumor.,An image of a bright rainbow arching over a calm lake beside a vivid red leaved tree.,0.5,0,-0.5,0,-0.5,0,Negative Images/Tumor 1.jpg,Neutral Images/Wall 2.jpg,Positive Images/Rainbow 1.jpg
An image of three spools of gray thread arranged side by side.,An image of a time of war where a soldier is pointing his gun at a child.,An image of a rainbow stretching across a dramatic sky above the ocean at sunset.,-0.5,0,0.5,0,0.5,0,Negative Images/War 6.jpg,Neutral Images/Yarn 1 (1).jpg,Positive Images/Rainbow 2.jpg
